Plot Rep Block Genotype Lat Loc Year Environment EV_V4 EV_V6 PH_V4 PH_V6 PH_final LO TILL FF MF
6001 1 601 DH_KE0114 31 ROG 2017 2017.ROG 6 5 28 66 138 1 4 80 NA
6002 1 601 DH_KE0433 31 ROG 2017 2017.ROG 5 5 24.33333333 65 95.66666667 4 2 72 NA
6003 1 601 DH_PE0028 31 ROG 2017 2017.ROG 4 5 24.66666667 82.66666667 104 4 4 78 NA
6004 1 601 DH_KE0265 31 ROG 2017 2017.ROG 3 3 16 36 132 2 1 76 NA
6007 1 601 DH_PE0015 31 ROG 2017 2017.ROG 4 4 25.33333333 59.33333333 98 1 3 74 NA
6008 1 601 DH_KE0641 31 ROG 2017 2017.ROG 4 5 19.33333333 60 123.6666667 5 2 72 NA
6009 1 601 DH_PE0378 31 ROG 2017 2017.ROG 6 7 27.66666667 77 153.6666667 1 2 76 NA
6010 1 601 DH_PE0018 31 ROG 2017 2017.ROG 6 5 29.33333333 62 113.3333333 3 6 70 NA
6011 1 602 DH_KE0013 31 ROG 2017 2017.ROG NA 1 9 NA 114 NA 1 NA NA
6012 1 602 DH_KE0662 31 ROG 2017 2017.ROG 5 4 27.33333333 52.33333333 107.6666667 5 4 72 NA
6013 1 602 DH_PE0355 31 ROG 2017 2017.ROG 6 6 28.66666667 73.33333333 142 1 1 70 NA
6014 1 602 DH_PE0425 31 ROG 2017 2017.ROG 7 5 27.66666667 63.66666667 150.3333333 3 6 64 NA
6015 1 602 DH_PE0032 31 ROG 2017 2017.ROG 3 3 19.33333333 49.66666667 115.6666667 8 2 84 NA
6016 1 602 DH_KE0281 31 ROG 2017 2017.ROG 7 7 30.66666667 71 180 1 3 66 NA
6018 1 602 DH_KE0141 31 ROG 2017 2017.ROG 6 5 24 61.33333333 152.3333333 1 2 74 NA
6019 1 602 DH_PE0330 31 ROG 2017 2017.ROG 4 3 23.33333333 57 130.3333333 2 6 80 NA
6020 1 602 DH_PE0158 31 ROG 2017 2017.ROG 4 5 22 63.66666667 150.3333333 4 3 84 NA
6021 1 603 DH_KE0443 31 ROG 2017 2017.ROG 6 5 26.66666667 54.66666667 120.3333333 1 3 74 NA
6022 1 603 DH_KE0656 31 ROG 2017 2017.ROG 7 6 28.66666667 66 172.6666667 1 4 72 NA
6023 1 603 DH_KE0061 31 ROG 2017 2017.ROG 4 3 18 43.33333333 129.3333333 1 1 72 NA
6024 1 603 DH_KE0631 31 ROG 2017 2017.ROG 3 4 28.33333333 59.33333333 167.3333333 1 3 76 NA
6025 1 603 DH_PE0263 31 ROG 2017 2017.ROG 5 5 25.66666667 61 101.3333333 1 1 72 NA
6026 1 603 DH_KE0152 31 ROG 2017 2017.ROG 4 4 21.33333333 46.33333333 132 1 1 72 NA
6027 1 603 DH_KE0552 31 ROG 2017 2017.ROG 4 4 19 45 129.6666667 1 1 78 NA
6029 1 603 DH_KE0189 31 ROG 2017 2017.ROG 4 5 22.66666667 57.66666667 171.6666667 3 3 80 NA
6030 1 603 DH_KE0493 31 ROG 2017 2017.ROG 7 7 29.33333333 67.66666667 168.3333333 1 2 68 NA
6031 1 604 DH_KE0181 31 ROG 2017 2017.ROG 4 4 19 37.66666667 112.3333333 8 3 72 NA
6032 1 604 DH_KE0357 31 ROG 2017 2017.ROG 4 4 22.33333333 48.33333333 96.33333333 4 3 74 NA
6033 1 604 DH_KE0102 31 ROG 2017 2017.ROG 5 6 21.66666667 54.33333333 117.3333333 1 3 64 NA
6034 1 604 DH_KE0338 31 ROG 2017 2017.ROG 4 4 26.33333333 59.66666667 129.3333333 5 1 74 NA
6035 1 604 DH_KE0648 31 ROG 2017 2017.ROG 6 6 23 64.33333333 118.3333333 8 3 74 NA
6036 1 604 DH_PE0221 31 ROG 2017 2017.ROG 5 6 25.66666667 63.66666667 102.6666667 2 4 66 NA
6037 1 604 DH_PE0095 31 ROG 2017 2017.ROG 7 6 27.66666667 60.33333333 112.3333333 1 8 72 NA
6038 1 604 DH_KE0498 31 ROG 2017 2017.ROG 6 7 27.66666667 62.33333333 135.6666667 9 4 70 NA
6039 1 604 DH_PE0324 31 ROG 2017 2017.ROG 5 6 23.66666667 64 143.3333333 1 3 72 NA
6041 1 605 DH_KE0544 31 ROG 2017 2017.ROG 5 5 25.33333333 63 137.3333333 1 3 88 NA
6042 1 605 DH_PE0197 31 ROG 2017 2017.ROG 5 6 24 53.33333333 99 1 5 70 NA
6043 1 605 CH10 31 ROG 2017 2017.ROG 6 7 31.33333333 64 120 1 4 68 NA
6044 1 605 DH_KE0628 31 ROG 2017 2017.ROG 7 7 35.33333333 70.33333333 169 2 3 70 NA
6045 1 605 DH_KE0618 31 ROG 2017 2017.ROG 6 6 25.66666667 58.33333333 153.3333333 7 3 77 NA
6046 1 605 DH_KE0652 31 ROG 2017 2017.ROG 6 7 25 67.33333333 122 1 3 76 NA
6047 1 605 DH_PE0030 31 ROG 2017 2017.ROG 6 5 19.66666667 52.33333333 96.33333333 1 7 76 NA
6048 1 605 DH_KE0494 31 ROG 2017 2017.ROG 6 6 29 61.33333333 105.6666667 1 4 74 NA
6049 1 605 DH_PE0453 31 ROG 2017 2017.ROG 6 7 21.66666667 65.66666667 125.6666667 1 4 72 NA
6051 1 606 DH_KE0675 31 ROG 2017 2017.ROG 7 5 27.66666667 64.33333333 81 1 6 78 NA
6052 1 606 DH_KE0085 31 ROG 2017 2017.ROG 3 3 18 64.33333333 119.6666667 5 2 68 NA
6053 1 606 DH_KE0095 31 ROG 2017 2017.ROG 3 2 15.66666667 38.33333333 86.66666667 1 3 70 NA
6054 1 606 DH_PE0109 31 ROG 2017 2017.ROG 5 5 23 63.33333333 109.6666667 6 2 76 NA
6055 1 606 DH_PE0235 31 ROG 2017 2017.ROG 6 6 24.66666667 70 91.66666667 1 4 66 NA
6056 1 606 DH_PE0139 31 ROG 2017 2017.ROG 7 7 30.33333333 68.33333333 113.3333333 1 6 70 NA
6057 1 606 DH_KE0466 31 ROG 2017 2017.ROG 6 6 29 69 154 1 4 78 NA
6058 1 606 DH_PE0614 31 ROG 2017 2017.ROG 7 5 33 71.66666667 122 1 4 76 NA
6059 1 606 DH_PE0069 31 ROG 2017 2017.ROG 8 7 36 67.66666667 102.3333333 1 7 70 NA
6060 1 606 DH_KE0517 31 ROG 2017 2017.ROG 6 6 27 62.33333333 109.6666667 2 4 76 NA
6061 1 607 DH_KE0642 31 ROG 2017 2017.ROG 5 5 19.66666667 62.66666667 123 1 3 68 NA
6062 1 607 DH_KE0249 31 ROG 2017 2017.ROG 5 5 21.33333333 53.33333333 138 1 3 68 NA
6063 1 607 DH_KE0445 31 ROG 2017 2017.ROG 4 3 19.66666667 47.33333333 102.6666667 1 1 74 NA
6064 1 607 UH007 31 ROG 2017 2017.ROG 7 7 32.33333333 77 147 1 2 66 NA
6065 1 607 DH_KE0239 31 ROG 2017 2017.ROG 5 5 20.66666667 49.33333333 109 1 2 68 NA
6066 1 607 DH_KE0116 31 ROG 2017 2017.ROG 6 6 24 67 177 1 2 80 NA
6068 1 607 DH_KE0635 31 ROG 2017 2017.ROG 7 6 34.33333333 78 141.6666667 3 5 70 NA
6069 1 607 DH_PE0279 31 ROG 2017 2017.ROG 5 5 30.33333333 82 125.3333333 1 5 66 NA
6070 1 607 DH_KE0206 31 ROG 2017 2017.ROG 7 7 33 76.66666667 147 1 1 70 NA
6071 1 608 DH_KE0094 31 ROG 2017 2017.ROG 5 6 22.33333333 58 168.6666667 1 3 70 NA
6072 1 608 DH_KE0165 31 ROG 2017 2017.ROG 4 5 25 55.33333333 158.6666667 4 3 74 NA
6073 1 608 DH_KE0005 31 ROG 2017 2017.ROG 6 6 23 66.66666667 137 2 3 68 NA
6074 1 608 DH_KE0150 31 ROG 2017 2017.ROG 7 6 28.33333333 64.33333333 155.6666667 9 3 68 NA
